Specification of terrain components							
TC-ID	fraction	slope[%]	position[-]	beta_fac	sdr_tc	f_diff2conc	f_conc2diff
179	0.06	30.25	2	1	1	0.423136504	0.727503335
180	0.05	6.98	1	1	1	0.46906695	0.683021286
181	0.17	10.65	5	1	1	0.211057828	0.835500805
182	0.04	21.92	4	1	1	0.434175751	0.670282833
183	0.12	7.56	3	1	1	0.208764052	0.85342778
184	0.46	13.49	2	1	1	0.10873043	0.892697547
185	0.21	6.16	1	1	1	0.152177366	0.896523071
186	0.53	13.16	5	1	1	0.105597069	0.896491894
187	0.24	8.29	4	1	1	0.108082303	0.917304791
188	0.08	12.95	3	1	1	0.220791237	0.868652062
189	0.12	5.2	2	1	1	0.161898299	0.899473633
190	0.03	11.41	1	1	1	0.441741561	0.70208256
191	0.49	5.74	5	1	1	0.142328577	0.87543994
192	0.26	29.68	4	1	1	0.113816783	0.880730806
193	0.08	10.78	3	1	1	0.208559019	0.874136611
194	0.16	34.76	2	1	1	0.13101808	0.895855054
195	0.01	70.55	1	1	1	0.687401195	0.46841231
196	0.15	8.54	5	1	1	0.233888409	0.825985979
197	0.28	18.79	4	1	1	0.151748086	0.633558465
198	0.04	30.24	3	1	1	0.470235256	0.67958937
199	0.1	15.48	2	1	1	0.263735691	0.837906069
200	0.43	26.04	1	1	1	0.11160405	0.908939335
201	0.41	25.94	5	1	1	0.100666013	0.90190914
202	0.04	62.74	4	1	1	0.368359477	0.76418557
203	0.12	34.79	3	1	1	0.170062633	0.894972286
204	0.16	21.79	2	1	1	0.138629279	0.919810576
205	0.27	9.87	1	1	1	0.10207609	0.933522568
206	0.09	12.12	5	1	1	0.209155474	0.860229877
207	0.28	22.01	4	1	1	0.112672219	0.896174041
208	0.1	28.74	3	1	1	0.188984668	0.883194852
209	0.4	33.47	2	1	1	0.086809465	0.921439931
210	0.13	33.25	1	1	1	0.176381254	0.895577014
211	0.27	7.34	5	1	1	0.197082088	0.842042514
212	0.28	16.88	4	1	1	0.15973698	0.866186138
213	0.26	30.67	3	1	1	0.154943706	0.894078973
214	0.14	69.23	2	1	1	0.28036636	0.822585889
215	0.05	28.72	1	1	1	0.547497031	0.619713268
216	0.15	22.78	5	1	1	0.265220008	0.811132267
217	0.12	36.46	4	1	1	0.26355545	0.804091348
218	0.14	47.97	3	1	1	0.231903417	0.861369222
219	0.2	33.65	2	1	1	0.194307749	0.885885654
220	0.39	21.38	1	1	1	0.127668497	0.912231787
221	0.21	10.53	5	1	1	0.219636996	0.832457106
222	0.16	21.04	4	1	1	0.216657017	0.851854244
223	0.02	14.44	3	1	1	0.677912662	0.478148718
224	0.24	20.12	2	1	1	0.160694486	0.889639561
225	0.37	26.17	1	1	1	0.130532127	0.900581347
226	0.07	14.12	5	1	1	0.240132281	0.852811001
227	0.34	29.56	4	1	1	0.099115702	0.905784091
228	0.2	20.24	3	1	1	0.1176454	0.916667613
229	0.18	15.26	2	1	1	0.130874197	0.913755489
230	0.21	10.41	1	1	1	0.118442885	0.920972478
231	0.05	3.77	5	1	1	0.340057394	0.771299968
232	0.46	15.03	4	1	1	0.104529896	0.886247271
233	0.26	20.96	3	1	1	0.110451141	0.913895741
234	0.2	25.07	2	1	1	0.124761195	0.91537428
235	0.03	24.68	1	1	1	0.484581634	0.664495012
236	0.11	7.73	5	1	1	0.180654655	0.8714569
237	0.52	17.18	4	1	1	0.098532065	0.892605874
238	0.1	23.04	3	1	1	0.193089915	0.885105336
239	0.04	9.06	2	1	1	0.375027636	0.762334617
240	0.23	27.97	1	1	1	0.110190202	0.919018552
241	0.37	6.53	5	1	1	0.118074196	0.888627703
242	0.18	14.75	4	1	1	0.137384058	0.892610807
243	0.3	27.23	3	1	1	0.105095332	0.912470766
244	0.14	35.65	2	1	1	0.170876817	0.904192351
245	0.01	62.17	1	1	1	0.751575112	0.387047788
246	0.41	5.21	5	1	1	0.167108303	0.857927933
247	0.32	18.48	4	1	1	0.152673263	0.865417694
248	0.04	36.02	3	1	1	0.537469598	0.631700937
249	0.2	28.97	2	1	1	0.200678739	0.886491923
250	0.03	11.85	1	1	1	0.648452124	0.533062558
251	0.35	25.9	5	1	1	0.107737341	0.895880002
252	0.2	34.01	4	1	1	0.115528478	0.918866295
253	0.02	9.46	3	1	1	0.561119963	0.590827144
254	0.16	25.96	2	1	1	0.142471235	0.911971892
255	0.27	12.94	1	1	1	0.102262969	0.927226528
256	0.45	23.83	5	1	1	0.088840277	0.899682735
257	0.1	18.88	4	1	1	0.145150798	0.905352471
258	0.04	30.32	3	1	1	0.298744354	0.805131911
259	0.28	14.87	2	1	1	0.085766376	0.92988029
260	0.13	5.83	1	1	1	0.132642327	0.914404205
261	0.57	8.13	5	1	1	0.154475498	0.871059417
262	0.24	23.47	4	1	1	0.189693048	0.88501403
263	0.04	49.48	3	1	1	0.595729531	0.565980693
264	0.12	25.82	2	1	1	0.332427799	0.792979495
265	0.03	55.97	1	1	1	0.670399289	0.476236946
266	0.43	18.38	5	1	1	0.085864701	0.915881381
267	0.18	12.77	4	1	1	0.104916432	0.916087385
268	0.26	29.22	3	1	1	0.085902728	0.931075067
269	0.04	5.89	2	1	1	0.314626758	0.793914408
270	0.09	23.36	1	1	1	0.171384744	0.892138393
271	0.43	5.08	5	1	1	0.183223449	0.859207516
272	0.26	23.83	4	1	1	0.15239742	0.780304433
273	0.18	40.79	3	1	1	0.188176746	0.883412222
274	0.1	31.11	2	1	1	0.331958359	0.79815689
275	0.03	48.66	1	1	1	0.627285839	0.541929636
276	0.17	18.91	5	1	1	0.253097188	0.816786134
277	0.06	28.82	4	1	1	0.408493808	0.702631243
278	0.04	37.77	3	1	1	0.513353097	0.648410007
279	0.44	22.7	2	1	1	0.121946988	0.899712106
280	0.29	14.31	1	1	1	0.160937991	0.902764848
281	0.151515152	11.57	4	1	1	0.258961983	0.782920801
282	0.484848485	29.28	3	1	1	0.131985644	0.55361553
283	0.04040404	49.18	2	1	1	0.526845086	0.624441321
284	0.323232323	28.51	1	1	1	0.137443651	0.9063552
286	0.13	7.97	5	1	1	0.840810075	0.264872638
287	0.44	19.79	4	1	1	0.320742357	0.769155084
288	0.18	16.56	3	1	1	0.141031663	0.859196806
289	0.12	29.12	2	1	1	0.223008494	0.867736767
290	0.13	19.4	1	1	1	0.311895314	0.807321839
291	0.197916667	21.4	5	1	1	0.123654728	0.88538999
293	0.375	28.84	3	1	1	0.080986917	0.913991316
294	0.041666667	52.36	2	1	1	0.29926778	0.806180166
295	0.385416667	14.66	1	1	1	0.073351692	0.937860743
296	0.13	13.81	5	1	1	0.140494255	0.874595151
297	0.34	31.79	4	1	1	0.085168613	0.910325718
298	0.42	34.49	3	1	1	0.074764196	0.938323317
299	0.08	43.23	2	1	1	0.209096353	0.873503431
300	0.03	0.42	1	1	1	0.410216959	0.725847865
301	0.11	16.33	5	1	1	0.178308691	0.869689118
302	0.3	25.45	4	1	1	0.104562637	0.908239827
303	0.06	10.35	3	1	1	0.281656621	0.826071873
304	0.24	21.58	2	1	1	0.108885476	0.916987503
305	0.29	9.65	1	1	1	0.100308614	0.91978068
306	0.51	18.44	5	1	1	0.089318081	0.906985359
307	0.04	35.16	4	1	1	0.288444148	0.819056621
308	0.02	2.36	3	1	1	0.453620367	0.685293513
309	0.24	32.74	2	1	1	0.084779407	0.928147908
310	0.19	14.21	1	1	1	0.105369044	0.922320213
311	0.19	13.17	5	1	1	0.224803233	0.839458918
312	0.18	20.31	4	1	1	0.198994188	0.857454306
313	0.48	26.26	3	1	1	0.116594331	0.906450236
314	0.06	13.52	2	1	1	0.480169401	0.671276748
315	0.09	33.41	1	1	1	0.385000904	0.75078794
316	0.07	11.27	5	1	1	0.384744679	0.69190489
317	0.52	28.68	4	1	1	0.124912384	0.85671407
318	0.06	22.5	3	1	1	0.411260954	0.751546299
319	0.14	8.13	2	1	1	0.232792241	0.869897842
320	0.21	21.91	1	1	1	0.164551685	0.890739091
321	0.17	9.47	5	1	1	0.131625922	0.889695815
322	0.22	22.69	4	1	1	0.10440191	0.91192559
323	0.32	29.61	3	1	1	0.087987576	0.922493239
324	0.26	37.95	2	1	1	0.092624202	0.930687421
325	0.03	4.92	1	1	1	0.419845096	0.722102232
326	0.09	3.04	5	1	1	0.176766683	0.859270796
327	0.34	10.06	4	1	1	0.104645914	0.890549323
328	0.3	22.37	3	1	1	0.089683981	0.916555542
329	0.14	34.68	2	1	1	0.11716294	0.922621736
330	0.13	38.77	1	1	1	0.130678819	0.911644695
331	0.33	15.23	5	1	1	0.123493963	0.883773597
332	0.08	25.82	4	1	1	0.214347218	0.868503114
333	0.06	14.56	3	1	1	0.270745934	0.833566156
334	0.5	25.27	2	1	1	0.084062466	0.919963333
335	0.03	35.51	1	1	1	0.487042089	0.654398386
336	0.17	19.07	5	1	1	0.24859768	0.832898172
