discharge [m?/s]									
YYYY	MM	DD	HH	480	0	0	0	0	0
YYYY	MM	DD	HH	284792	0	0	0	0	0
YYYY	MM	DD	HH	4674623	0	0	0	0	0
YYYY	MM	DD	HH	Capella	Cabecera	Carrasquero	Ceguera	Villacarli	Lascuarre
2009	5	18	0	7.29	-9999	-9999	-9999	-9999	-9999
2009	5	19	0	5.95	-9999	-9999	-9999	-9999	-9999
2009	5	20	0	5.44	-9999	-9999	-9999	-9999	-9999
2009	5	21	0	5.08	-9999	-9999	-9999	-9999	-9999
2009	5	22	0	4.78	-9999	-9999	-9999	-9999	-9999
2009	5	23	0	4.29	-9999	-9999	-9999	-9999	-9999
2009	5	24	0	4.08	-9999	-9999	-9999	-9999	-9999
2009	5	25	0	3.65	-9999	-9999	-9999	-9999	-9999
2009	5	26	0	3.29	-9999	-9999	-9999	-9999	-9999
2009	5	27	0	2.86	-9999	-9999	-9999	-9999	-9999
2009	5	28	0	2.62	-9999	-9999	-9999	-9999	-9999
2009	5	29	0	2.46	-9999	-9999	-9999	-9999	-9999
2009	5	30	0	2.32	-9999	-9999	-9999	-9999	-9999
2009	5	31	0	2.88	-9999	-9999	-9999	-9999	-9999
2009	6	1	0	2.54	-9999	-9999	-9999	-9999	-9999
2009	6	2	0	2.25	-9999	-9999	-9999	-9999	-9999
2009	6	3	0	2.01	-9999	-9999	-9999	-9999	-9999
2009	6	4	0	1.75	-9999	-9999	-9999	-9999	-9999
2009	6	5	0	2.12	-9999	-9999	-9999	-9999	-9999
2009	6	6	0	3.89	-9999	-9999	-9999	-9999	-9999
2009	6	7	0	2.76	-9999	-9999	-9999	-9999	-9999
2009	6	8	0	2.3	-9999	-9999	-9999	-9999	-9999
2009	6	9	0	2.34	-9999	-9999	-9999	-9999	-9999
2009	6	10	0	2.02	-9999	-9999	-9999	-9999	-9999
2009	6	11	0	1.67	-9999	-9999	-9999	-9999	-9999
2009	6	12	0	1.51	-9999	-9999	-9999	-9999	-9999
2009	6	13	0	1.41	-9999	-9999	-9999	-9999	-9999
2009	6	14	0	1.32	-9999	-9999	-9999	-9999	-9999
2009	6	15	0	1.27	-9999	-9999	-9999	-9999	-9999
2009	6	16	0	1.28	-9999	-9999	-9999	-9999	-9999
2009	6	17	0	1.29	-9999	-9999	-9999	-9999	-9999
2009	6	18	0	1.13	-9999	-9999	-9999	-9999	-9999
2009	6	19	0	1.06	-9999	-9999	-9999	-9999	-9999
2009	6	20	0	1.02	-9999	-9999	-9999	-9999	-9999
2009	6	21	0	0.9	-9999	-9999	-9999	-9999	-9999
2009	6	22	0	0.86	-9999	-9999	-9999	-9999	-9999
2009	6	23	0	0.82	-9999	-9999	-9999	-9999	-9999
2009	6	24	0	0.81	-9999	-9999	-9999	-9999	-9999
2009	6	25	0	1.22	-9999	-9999	-9999	-9999	-9999
2009	6	26	0	1.25	-9999	-9999	-9999	-9999	-9999
2009	6	27	0	0.95	-9999	-9999	-9999	-9999	-9999
2009	6	28	0	0.85	-9999	-9999	-9999	-9999	-9999
2009	6	29	0	0.78	-9999	-9999	-9999	-9999	-9999
2009	6	30	0	0.75	-9999	-9999	-9999	-9999	-9999
2009	7	1	0	0.74	-9999	-9999	-9999	-9999	-9999
2009	7	2	0	0.69	-9999	-9999	-9999	-9999	-9999
2009	7	3	0	0.64	-9999	-9999	-9999	-9999	-9999
2009	7	4	0	0.68	-9999	-9999	-9999	-9999	-9999
