Specification of terrain components							
TC-ID	fraction	slope[%]	position[-]	beta_fac	sdr_tc	f_diff2conc	f_conc2diff
209	0.14	25.74	2	1	1	0.904957376	0.161379327
208	0.18	35.53	3	1	1	0.921524024	0.123244148
207	0.24	28.83	4	1	1	0.91451328	0.107698254
206	0.13	18.31	5	1	1	0.882990903	0.154728352
215	0.09	30.99	1	1	1	0.769185347	0.360441341
214	0.02	5.08	2	1	1	0.417400771	0.717310601
213	0.26	38.55	3	1	1	0.905429674	0.151396491
212	0.52	26.56	4	1	1	0.534074745	0.144776114
211	0.11	8.95	5	1	1	0.781636606	0.301413603
220	0.03	107.6	1	1	1	0.564172432	0.587937512
219	0.32	26.42	2	1	1	0.889583021	0.125520708
218	0.04	4.22	3	1	1	0.684515925	0.464973512
217	0.04	16.76	4	1	1	0.678962316	0.467965083
216	0.57	6.28	5	1	1	0.869942443	0.132313463
225	0.05	21.19	1	1	1	0.815955395	0.292864013
224	0.06	42.66	2	1	1	0.849844562	0.25107241
223	0.48	32.94	3	1	1	0.926356086	0.075876845
222	0.3	24.12	4	1	1	0.909453328	0.093846177
221	0.11	13.31	5	1	1	0.869703961	0.155566346
230	0.45	30.91	1	1	1	0.941198128	0.08311492
229	0.1	79.38	2	1	1	0.883780205	0.21438043
228	0.16	5.28	3	1	1	0.910099918	0.151718758
227	0.08	38.53	4	1	1	0.826330886	0.268356696
226	0.21	12.47	5	1	1	0.918942573	0.128518516
235	0.17	0.41	1	1	1	0.927739711	0.121103036
234	0.24	43.52	2	1	1	0.926501058	0.112524733
233	0.06	18.68	3	1	1	0.809877484	0.299355311
232	0.42	39.14	4	1	1	0.923322537	0.081325586
231	0.11	12.99	5	1	1	0.887760262	0.175354745
240	0.29	13.22	1	1	1	0.933363377	0.088801532
239	0.22	23.09	2	1	1	0.928720233	0.094842206
238	0.3	33.3	3	1	1	0.927173862	0.079127008
237	0.1	43.33	4	1	1	0.89839657	0.139435366
236	0.09	22.67	5	1	1	0.89256975	0.152554232
245	0.29	32.5	1	1	1	0.915236747	0.09885374
244	0.28	5.55	2	1	1	0.924764465	0.10058511
243	0.28	19.49	3	1	1	0.945768001	0.082383344
242	0.08	42.4	4	1	1	0.880979235	0.201214918
241	0.07	2.59	5	1	1	0.875224848	0.217507148
250	0.11	36.9	1	1	1	0.904974091	0.151431182
249	0.12	34.97	2	1	1	0.916374891	0.130908063
248	0.16	20.22	3	1	1	0.910521177	0.115949183
247	0.5	10.05	4	1	1	0.903686523	0.094448038
246	0.11	3.25	5	1	1	0.859806737	0.167564687
255	0.09	20.5	1	1	1	0.907996055	0.147467272
254	0.06	32.96	2	1	1	0.887706	0.19559833
253	0.2	6.48	3	1	1	0.927659845	0.093855662
252	0.22	11.11	4	1	1	0.644506373	0.091813958
251	0.43	0.23	5	1	1	0.896553503	0.117598073
260	0.01	2.8	1	1	1	0.385594653	0.746345235
259	0.1	29.53	2	1	1	0.864321618	0.223228687
258	0.14	21.39	3	1	1	0.893562705	0.173673493
257	0.58	0.61	4	1	1	0.912846151	0.095409295
256	0.17	10.82	5	1	1	0.863379894	0.179021037
265	0.01	56.58	1	1	1	0.376764045	0.756532231
264	0.12	31.42	2	1	1	0.881539983	0.203569753
263	0.22	25.76	3	1	1	0.909626871	0.126167383
262	0.26	18.18	4	1	1	0.901144431	0.11437384
261	0.39	4.12	5	1	1	0.892224014	0.118163359
270	0.47	11.74	1	1	1	0.924881274	0.082460235
269	0.2	20.48	2	1	1	0.919609335	0.114075392
268	0.04	34.94	3	1	1	0.775366546	0.346823846
267	0.18	15.64	4	1	1	0.904961894	0.125751184
266	0.11	6.77	5	1	1	0.754270849	0.229878488
275	0.31	29.97	1	1	1	0.929728113	0.098892701
274	0.14	25.11	2	1	1	0.899459523	0.172796783
273	0.14	30.05	3	1	1	0.906165766	0.157318378
272	0.18	25.34	4	1	1	0.904367239	0.130132537
271	0.23	12.33	5	1	1	0.880021821	0.141950607
280	0.03	15.39	1	1	1	0.715905559	0.420340215
279	0.46	32.06	2	1	1	0.945349042	0.067521987
278	0.22	26.71	3	1	1	0.927473435	0.096792945
277	0.24	19.64	4	1	1	0.912919267	0.097683465
276	0.05	11.28	5	1	1	0.861391008	0.232183198
285	0.05	48.92	1	1	1	0.729352703	0.41137496
284	0.22	41.79	2	1	1	0.912974066	0.142117274
283	0.14	28.87	3	1	1	0.900853353	0.18599287
282	0.32	17.97	4	1	1	0.900699973	0.112379115
281	0.27	4.51	5	1	1	0.865677929	0.155902444
290	0.09	39.54	1	1	1	0.742123395	0.391109249
289	0.06	11.52	2	1	1	0.65514484	0.487477448
288	0.04	43.88	3	1	1	0.55972809	0.585784916
287	0.6	26.42	4	1	1	0.888618752	0.118360766
286	0.21	15.02	5	1	1	0.834308032	0.222312351
295	0.27	33.91	1	1	1	0.901884994	0.16697111
294	0.02	68.37	2	1	1	0.404416755	0.713484438
293	0.08	36.28	3	1	1	0.736416405	0.374359761
292	0.3	15.31	4	1	1	0.889611728	0.151477346
291	0.33	6.66	5	1	1	0.849636823	0.180020113
300	0.35	16.67	1	1	1	0.914658456	0.133370429
299	0.28	31.77	2	1	1	0.898852855	0.144293534
298	0.04	15.55	3	1	1	0.648912771	0.51174364
297	0.14	39.22	4	1	1	0.847532664	0.222997942
296	0.19	19.53	5	1	1	0.74016081	0.237577919
305	0.13	5.67	1	1	1	0.918653167	0.134795157
304	0.22	16.36	2	1	1	0.930659257	0.099402235
303	0.2	23.27	3	1	1	0.930762596	0.098782589
302	0.24	33.38	4	1	1	0.932336473	0.086400668
301	0.21	19.1	5	1	1	0.922047487	0.095366442
310	0.19	30.81	1	1	1	0.915097536	0.136916401
309	0.4	27.22	2	1	1	0.92433124	0.093093086
308	0.08	18.1	3	1	1	0.850435457	0.245513841
307	0.28	20.21	4	1	1	0.8978474	0.10849445
306	0.05	21.04	5	1	1	0.797760644	0.301499307
315	0.11	4.07	1	1	1	0.883443991	0.197120439
314	0.08	21.16	2	1	1	0.840498121	0.251112751
313	0.02	1.95	3	1	1	0.574967037	0.572428707
312	0.2	11.97	4	1	1	0.914841825	0.126023786
311	0.59	18.21	5	1	1	0.873405334	0.105374917
320	0.43	22.81	1	1	1	0.935358382	0.069357017
319	0.1	32.08	2	1	1	0.90618057	0.155579105
318	0.18	24.71	3	1	1	0.919197294	0.104610523
317	0.22	15.57	4	1	1	0.906025593	0.106048244
316	0.07	7.22	5	1	1	0.86836536	0.194092124
325	0.01	81.54	1	1	1	0.257347857	0.855652815
324	0.34	44.24	2	1	1	0.90919844	0.136555082
323	0.06	2.47	3	1	1	0.670191172	0.461711469
322	0.04	63.79	4	1	1	0.624996226	0.559480305
321	0.55	28.04	5	1	1	0.891354911	0.123135619
330	0.23	23.75	1	1	1	0.921664928	0.12378596
329	0.04	5.78	2	1	1	0.693740094	0.444428461
328	0.46	29.68	3	1	1	0.932628736	0.083495226
327	0.18	39.16	4	1	1	0.90262764	0.132214967
326	0.09	26.83	5	1	1	0.847994511	0.223637453
335	0.27	13.43	1	1	1	0.925106863	0.108106903
334	0.14	2.1	2	1	1	0.899260885	0.16482905
333	0.28	27.03	3	1	1	0.929784749	0.097910474
332	0.06	35.5	4	1	1	0.812881145	0.30365209
331	0.25	26.67	5	1	1	0.921320804	0.106504459
340	0.21	36.02	1	1	1	0.870565917	0.215071434
