discharge
YYYY	MM	DD	HH	Cabecera	Capella	Carrasquero	Ceguera	Lascuarre	Villacarli
YYYY	MM	DD	HH	Cabecera	Capella	Carrasquero	Ceguera	Lascuarre	Villacarli
YYYY	MM	DD	HH	Cabecera	Capella	Carrasquero	Ceguera	Lascuarre	Villacarli
YYYY	MM	DD	HH	Cabecera	Capella	Carrasquero	Ceguera	Lascuarre	Villacarli
2011	01	05	19	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	20	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	21	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	22	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	23	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	06	00	-9999	2.381	-9999	-9999	-9999	-9999
2011	01	06	01	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	06	02	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	06	03	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	06	04	-9999	2.467	-9999	-9999	-9999	-9999
2011	01	06	05	-9999	2.6	-9999	-9999	-9999	-9999
2011	01	06	06	-9999	2.646	-9999	-9999	-9999	-9999
2011	01	06	07	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	06	08	-9999	2.882	-9999	-9999	-9999	-9999
2011	01	06	09	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	06	10	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	06	11	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	06	12	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	06	13	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	06	14	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	06	15	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	06	16	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	06	17	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	06	18	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	06	19	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	06	20	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	06	21	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	06	22	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	06	23	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	07	00	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	07	01	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	07	02	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	07	03	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	07	04	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	07	05	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	07	06	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	07	07	-9999	2.833	-9999	-9999	-9999	-9999
2011	01	07	08	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	07	09	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	07	10	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	07	11	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	07	12	-9999	3.08	-9999	-9999	-9999	-9999
2011	01	07	13	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	07	14	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	07	15	-9999	3.234	-9999	-9999	-9999	-9999
2011	01	07	16	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	07	17	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	07	18	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	07	19	-9999	3.556	-9999	-9999	-9999	-9999
2011	01	07	20	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	07	21	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	07	22	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	07	23	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	08	00	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	08	01	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	08	02	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	08	03	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	08	04	-9999	3.556	-9999	-9999	-9999	-9999
2011	01	08	05	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	08	06	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	08	07	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	08	08	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	08	09	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	08	10	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	08	11	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	08	12	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	08	13	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	08	14	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	08	15	-9999	3.234	-9999	-9999	-9999	-9999
2011	01	08	16	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	08	17	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	08	18	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	08	19	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	08	20	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	08	21	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	08	22	-9999	3.08	-9999	-9999	-9999	-9999
2011	01	08	23	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	09	00	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	09	01	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	09	02	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	09	03	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	09	04	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	09	05	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	09	06	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	09	07	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	09	08	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	09	09	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	09	10	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	09	11	-9999	3.446	-9999	-9999	-9999	-9999
2011	01	09	12	-9999	3.668	-9999	-9999	-9999	-9999
2011	01	09	13	-9999	4.14	-9999	-9999	-9999	-9999
2011	01	09	14	-9999	4.578	-9999	-9999	-9999	-9999
2011	01	09	15	-9999	4.578	-9999	-9999	-9999	-9999
2011	01	09	16	-9999	4.644	-9999	-9999	-9999	-9999
2011	01	09	17	-9999	4.843	-9999	-9999	-9999	-9999
2011	01	09	18	-9999	5.118	-9999	-9999	-9999	-9999
2011	01	09	19	-9999	5.331	-9999	-9999	-9999	-9999
2011	01	09	20	-9999	5.773	-9999	-9999	-9999	-9999
2011	01	09	21	-9999	6.08	-9999	-9999	-9999	-9999
2011	01	09	22	-9999	6.479	-9999	-9999	-9999	-9999
2011	01	09	23	-9999	6.641	-9999	-9999	-9999	-9999
2011	01	10	00	-9999	6.641	-9999	-9999	-9999	-9999
2011	01	10	01	-9999	6.893	-9999	-9999	-9999	-9999
2011	01	10	02	-9999	6.977	-9999	-9999	-9999	-9999
2011	01	10	03	-9999	6.725	-9999	-9999	-9999	-9999
2011	01	10	04	-9999	6.641	-9999	-9999	-9999	-9999
2011	01	10	05	-9999	6.641	-9999	-9999	-9999	-9999
2011	01	10	06	-9999	6.316	-9999	-9999	-9999	-9999
2011	01	10	07	-9999	6.316	-9999	-9999	-9999	-9999
2011	01	10	08	-9999	6.316	-9999	-9999	-9999	-9999
2011	01	10	09	-9999	6.316	-9999	-9999	-9999	-9999
2011	01	10	10	-9999	6.237	-9999	-9999	-9999	-9999
2011	01	10	11	-9999	6.001	-9999	-9999	-9999	-9999
2011	01	10	12	-9999	6.001	-9999	-9999	-9999	-9999
2011	01	10	13	-9999	6.001	-9999	-9999	-9999	-9999
2011	01	10	14	-9999	6.001	-9999	-9999	-9999	-9999
2011	01	10	15	-9999	5.925	-9999	-9999	-9999	-9999
2011	01	10	16	-9999	5.697	-9999	-9999	-9999	-9999
2011	01	10	17	-9999	5.697	-9999	-9999	-9999	-9999
2011	01	10	18	-9999	5.697	-9999	-9999	-9999	-9999
2011	01	10	19	-9999	5.623	-9999	-9999	-9999	-9999
2011	01	10	20	-9999	5.402	-9999	-9999	-9999	-9999
2011	01	10	21	-9999	5.402	-9999	-9999	-9999	-9999
2011	01	10	22	-9999	5.402	-9999	-9999	-9999	-9999
2011	01	10	23	-9999	5.402	-9999	-9999	-9999	-9999
2011	01	11	00	-9999	5.402	-9999	-9999	-9999	-9999
2011	01	11	01	-9999	5.402	-9999	-9999	-9999	-9999
2011	01	11	02	-9999	5.402	-9999	-9999	-9999	-9999
2011	01	11	03	-9999	5.118	-9999	-9999	-9999	-9999
2011	01	11	04	-9999	5.118	-9999	-9999	-9999	-9999
2011	01	11	05	-9999	5.118	-9999	-9999	-9999	-9999
2011	01	11	06	-9999	5.118	-9999	-9999	-9999	-9999
2011	01	11	07	-9999	5.049	-9999	-9999	-9999	-9999
2011	01	11	08	-9999	4.843	-9999	-9999	-9999	-9999
2011	01	11	09	-9999	4.843	-9999	-9999	-9999	-9999
2011	01	11	10	-9999	4.843	-9999	-9999	-9999	-9999
2011	01	11	11	-9999	4.843	-9999	-9999	-9999	-9999
2011	01	11	12	-9999	4.843	-9999	-9999	-9999	-9999
2011	01	11	13	-9999	4.644	-9999	-9999	-9999	-9999
2011	01	11	14	-9999	4.578	-9999	-9999	-9999	-9999
2011	01	11	15	-9999	4.578	-9999	-9999	-9999	-9999
2011	01	11	16	-9999	4.578	-9999	-9999	-9999	-9999
2011	01	11	17	-9999	4.578	-9999	-9999	-9999	-9999
2011	01	11	18	-9999	4.578	-9999	-9999	-9999	-9999
2011	01	11	19	-9999	4.578	-9999	-9999	-9999	-9999
2011	01	11	20	-9999	4.578	-9999	-9999	-9999	-9999
2011	01	11	21	-9999	4.45	-9999	-9999	-9999	-9999
2011	01	11	22	-9999	4.322	-9999	-9999	-9999	-9999
2011	01	11	23	-9999	4.322	-9999	-9999	-9999	-9999
2011	01	12	00	-9999	4.322	-9999	-9999	-9999	-9999
2011	01	12	01	-9999	4.322	-9999	-9999	-9999	-9999
2011	01	12	02	-9999	4.322	-9999	-9999	-9999	-9999
2011	01	12	03	-9999	4.322	-9999	-9999	-9999	-9999
2011	01	12	04	-9999	4.322	-9999	-9999	-9999	-9999
2011	01	12	05	-9999	4.322	-9999	-9999	-9999	-9999
2011	01	12	06	-9999	4.322	-9999	-9999	-9999	-9999
2011	01	12	07	-9999	4.199	-9999	-9999	-9999	-9999
2011	01	12	08	-9999	4.076	-9999	-9999	-9999	-9999
2011	01	12	09	-9999	4.076	-9999	-9999	-9999	-9999
2011	01	12	10	-9999	4.076	-9999	-9999	-9999	-9999
2011	01	12	11	-9999	4.076	-9999	-9999	-9999	-9999
2011	01	12	12	-9999	4.076	-9999	-9999	-9999	-9999
2011	01	12	13	-9999	4.076	-9999	-9999	-9999	-9999
2011	01	12	14	-9999	4.076	-9999	-9999	-9999	-9999
2011	01	12	15	-9999	3.839	-9999	-9999	-9999	-9999
2011	01	12	16	-9999	3.839	-9999	-9999	-9999	-9999
2011	01	12	17	-9999	3.839	-9999	-9999	-9999	-9999
2011	01	12	18	-9999	3.839	-9999	-9999	-9999	-9999
2011	01	12	19	-9999	3.839	-9999	-9999	-9999	-9999
2011	01	12	20	-9999	3.839	-9999	-9999	-9999	-9999
2011	01	12	21	-9999	3.839	-9999	-9999	-9999	-9999
2011	01	12	22	-9999	3.839	-9999	-9999	-9999	-9999
2011	01	12	23	-9999	3.839	-9999	-9999	-9999	-9999
2011	01	13	00	-9999	3.839	-9999	-9999	-9999	-9999
2011	01	13	01	-9999	3.839	-9999	-9999	-9999	-9999
2011	01	13	02	-9999	3.839	-9999	-9999	-9999	-9999
2011	01	13	03	-9999	3.839	-9999	-9999	-9999	-9999
2011	01	13	04	-9999	3.839	-9999	-9999	-9999	-9999
2011	01	13	05	-9999	3.839	-9999	-9999	-9999	-9999
2011	01	13	06	-9999	3.668	-9999	-9999	-9999	-9999
2011	01	13	07	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	13	08	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	13	09	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	13	10	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	13	11	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	13	12	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	13	13	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	13	14	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	13	15	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	13	16	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	13	17	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	13	18	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	13	19	-9999	3.611	-9999	-9999	-9999	-9999
2011	01	13	20	-9999	3.501	-9999	-9999	-9999	-9999
2011	01	13	21	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	13	22	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	13	23	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	00	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	01	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	02	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	03	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	04	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	05	-9999	3.391	-9999	-9999	-9999	-9999
