Specification of which SVCs are contained in each TC
TC-ID[-]	SVC-ID[-]	fraction[-]
31	120312	0.048
31	90013	0.045
31	120318	0.034
31	1116503	0.03
31	116516	0.027
31	1106909	0.025
31	1120312	0.019
31	1120809	0.019
31	1077213	0.018
31	127012	0.018
31	76718	0.015
31	1120803	0.011
31	106918	0.01
31	1106903	0.01
31	1106912	0.006
32	120303	0.135
32	77213	0.127
32	116503	0.109
32	77217	0.085
32	116512	0.066
32	120318	0.064
32	1120303	0.054
32	120312	0.044
32	1116503	0.044
32	116516	0.041
32	120317	0.039
32	90013	0.03
32	1106903	0.027
32	1077213	0.018
32	77210	0.016
32	120817	0.014
32	76718	0.013
32	1106909	0.011
32	1120803	0.01
32	1120809	0.007
32	127012	0.006
33	120303	0.196
33	116503	0.09
33	116512	0.078
33	77213	0.072
33	1116503	0.067
33	120318	0.053
33	77217	0.05
33	77210	0.049
33	120312	0.048
33	77218	0.04
33	1106903	0.033
33	1077213	0.032
33	120817	0.029
33	1120303	0.023
33	120317	0.023
33	90013	0.018
33	1120809	0.016
33	116516	0.013
33	90017	0.009
33	106912	0.007
34	120303	0.223
34	77210	0.102
34	1116503	0.097
34	77218	0.067
34	116512	0.062
34	116503	0.06
34	120318	0.051
34	120312	0.045
34	120317	0.038
34	1077213	0.031
34	1106903	0.027
34	1120809	0.026
34	77213	0.025
34	90017	0.022
34	116516	0.02
34	77217	0.018
34	106916	0.012
34	120817	0.011
34	106912	0.008
35	120303	0.231
35	77210	0.106
35	1116503	0.093
35	77218	0.072
35	116512	0.063
35	116503	0.056
35	120318	0.045
35	120312	0.044
35	120317	0.042
35	1120809	0.032
35	1077213	0.029
35	90017	0.024
35	77213	0.023
35	1106903	0.022
35	116516	0.019
35	106916	0.012
35	77217	0.01
35	120818	0.009
35	106912	0.009
35	106903	0.006
36	77218	0.307
36	120318	0.172
36	129118	0.135
36	129103	0.078
36	120303	0.073
36	109912	0.045
36	76718	0.045
36	77216	0.04
36	120316	0.038
36	1120809	0.02
36	84618	0.014
36	129110	0.012
37	77218	0.248
37	120318	0.184
37	129118	0.139
37	120303	0.102
37	129103	0.05
37	76718	0.044
