Specification of which SVCs are contained in each TC
TC-ID[-]	SVC-ID[-]	fraction[-]
14	120316	0.009
14	1106901	0.009
14	116516	0.008
14	1109918	0.008
14	1116518	0.007
14	106951	0.007
14	109901	0.006
14	129116	0.006
14	106913	0.006
15	106918	0.114
15	116518	0.066
15	106917	0.061
15	106916	0.06
15	120301	0.057
15	120318	0.053
15	129118	0.051
15	116501	0.051
15	109918	0.05
15	109917	0.045
15	109916	0.042
15	106901	0.036
15	120818	0.033
15	83218	0.031
15	116517	0.029
15	129117	0.027
15	120317	0.023
15	76718	0.018
15	129101	0.017
15	129116	0.016
15	120817	0.014
15	120316	0.013
15	5050	0.012
15	1106901	0.012
15	109913	0.011
15	120816	0.01
15	120801	0.01
15	116516	0.01
15	1106918	0.008
15	106951	0.008
16	120318	0.107
16	120301	0.082
16	116501	0.071
16	129118	0.065
16	109918	0.057
16	116518	0.055
16	76718	0.052
16	106918	0.05
16	116517	0.047
16	129117	0.042
16	106917	0.04
16	106901	0.039
16	1120301	0.033
16	120317	0.029
16	120316	0.026
16	5050	0.02
16	1106901	0.018
16	76716	0.018
16	1120318	0.018
16	129101	0.017
16	1116501	0.017
16	1109918	0.016
16	109917	0.015
16	120313	0.012
16	1116518	0.012
16	116516	0.008
16	1106918	0.008
16	1109913	0.008
16	1116517	0.007
16	120351	0.006
16	109916	0.006
17	120318	0.126
17	120301	0.117
17	116501	0.066
17	109918	0.066
17	116518	0.057
17	76718	0.056
17	106918	0.052
17	129118	0.051
17	129117	0.048
17	116517	0.036
17	106917	0.032
17	120317	0.026
17	129101	0.025
17	106901	0.024
17	120316	0.024
17	109917	0.02
17	1120301	0.019
17	1106901	0.019
17	1116501	0.018
17	1106918	0.017
17	76716	0.011
17	116516	0.01
17	106916	0.009
17	1106917	0.009
17	1116517	0.009
17	5050	0.008
17	1120318	0.008
17	129116	0.008
17	1106913	0.008
17	1116518	0.007
17	90018	0.006
17	106951	0.006
18	120301	0.118
18	120318	0.117
18	116518	0.068
18	106918	0.051
18	109918	0.05
18	129118	0.05
18	106917	0.046
18	76718	0.041
18	129117	0.04
18	116501	0.038
18	120317	0.032
18	120316	0.031
18	116517	0.029
18	106901	0.028
18	129101	0.026
18	1116501	0.024
18	5050	0.022
18	1106918	0.021
18	129116	0.018
18	1116517	0.017
18	1106901	0.015
18	116516	0.014
18	106916	0.014
18	109917	0.014
18	1120301	0.012
18	1106917	0.011
18	90018	0.01
18	76716	0.008
18	109951	0.007
18	1116518	0.006
18	106913	0.005
19	120318	0.141
19	120301	0.111
19	106918	0.067
19	116518	0.054
19	1116501	0.051
19	106917	0.05
19	109918	0.048
19	129117	0.047
19	120317	0.037
19	129101	0.037
19	129118	0.034
19	116517	0.033
19	106901	0.032
19	120316	0.029
19	76718	0.027
19	116501	0.025
19	116516	0.018
19	1106918	0.017
19	90018	0.017
19	106916	0.016
19	5050	0.015
19	1106901	0.014
19	129116	0.013
19	109951	0.01
19	1116517	0.009
19	109916	0.008
19	76710	0.007
20	120301	0.139
20	120318	0.103
20	1116501	0.054
20	116518	0.054
20	106918	0.052
20	109918	0.048
20	129118	0.046
20	106901	0.045
20	120317	0.044
20	129101	0.043
20	106917	0.04
20	129117	0.038
20	106916	0.034
20	120316	0.029
20	116517	0.028
20	90018	0.028
20	76718	0.026
20	116501	0.024
20	1106901	0.02
20	109916	0.018
20	1106918	0.015
20	116516	0.013
20	76710	0.008
20	5050	0.007
20	1116517	0.006
20	106910	0.005
21	76718	0.119
21	109918	0.115
21	116501	0.096
21	120318	0.069
21	106918	0.057
21	1116501	0.057
21	129118	0.049
21	116518	0.047
21	5050	0.04
21	1106901	0.04
21	120301	0.036
21	1116518	0.035
21	120317	0.035
21	1106918	0.026
21	116517	0.025
21	129117	0.022
21	109916	0.021
21	1120318	0.019
21	106916	0.018
21	116513	0.016
21	120313	0.013
21	109917	0.012
21	1120301	0.011
21	1116517	0.01
21	106901	0.006
21	106917	0.005
22	116501	0.146
22	76718	0.11
22	109918	0.077
22	120318	0.077
22	106918	0.074
22	116518	0.054
22	106916	0.037
22	129118	0.036
22	120301	0.034
22	116517	0.034
22	106917	0.033
22	1116501	0.031
22	120317	0.029
22	129117	0.028
22	109917	0.021
22	1106901	0.02
22	109901	0.015
22	5050	0.014
22	129113	0.014
22	120316	0.012
22	1116517	0.012
22	1106918	0.01
22	1120301	0.01
22	116513	0.01
22	1116518	0.008
22	120313	0.008
22	1120318	0.008
22	1106917	0.008
22	1116513	0.008
22	120351	0.007
22	109916	0.006
23	116501	0.19
23	76718	0.093
23	109918	0.067
23	120318	0.059
23	106916	0.056
23	106917	0.054
23	106918	0.048
23	120317	0.041
23	1116501	0.038
23	116518	0.036
23	120316	0.035
23	129117	0.034
23	129118	0.033
23	129113	0.022
23	109917	0.022
23	116517	0.022
23	120301	0.021
23	116513	0.015
23	1106917	0.014
23	1106916	0.011
23	109951	0.009
23	129101	0.009
23	109901	0.008
23	1106918	0.007
23	109916	0.007
23	120313	0.006
23	1116518	0.006
23	116510	0.006
23	5050	0.005
24	116501	0.121
24	106918	0.071
24	106917	0.064
24	129118	0.062
24	76718	0.06
24	1116501	0.06
24	116518	0.056
24	109916	0.053
24	120318	0.046
24	109918	0.042
24	106916	0.039
24	106901	0.038
24	120317	0.033
24	129117	0.031
24	76710	0.03
24	120301	0.028
24	120316	0.027
24	129101	0.023
24	5050	0.018
24	116517	0.016
24	109917	0.015
24	1120301	0.014
24	106913	0.011
24	129116	0.008
24	1116517	0.006
25	116501	0.155
25	129118	0.085
25	106918	0.078
25	106916	0.048
25	109916	0.047
25	116518	0.045
25	106917	0.043
25	120316	0.042
25	109917	0.041
25	76718	0.04
25	1106901	0.038
25	76710	0.038
25	120318	0.037
25	106901	0.032
25	129101	0.03
25	109918	0.028
25	120301	0.027
25	120317	0.019
25	1106918	0.017
25	1116501	0.017
25	106951	0.012
25	1106917	0.01
25	129117	0.008
25	129116	0.008
25	1120301	0.008
25	129151	0.007
26	120301	0.175
26	120318	0.139
26	106918	0.114
26	1116501	0.081
26	106917	0.074
26	1116518	0.074
26	5050	0.067
26	1120301	0.05
26	106901	0.047
26	1116513	0.033
26	1106918	0.02
26	120310	0.016
26	120316	0.015
26	120313	0.015
26	1106901	0.013
26	120317	0.012
26	116518	0.012
26	106913	0.012
26	106916	0.011
26	1106913	0.009
26	1116551	0.009
27	120318	0.182
27	106918	0.151
27	120301	0.12
27	106901	0.104
27	106917	0.095
27	120317	0.056
27	116501	0.053
27	120818	0.044
27	1106901	0.035
27	116518	0.03
27	1116501	0.03
27	120316	0.019
27	5050	0.016
27	120817	0.014
27	106916	0.012
27	1106918	0.008
27	1116518	0.008
27	116517	0.007
27	106951	0.007
27	106913	0.006
28	106918	0.178
28	120318	0.119
28	120301	0.116
28	120818	0.096
28	106917	0.087
28	106901	0.075
28	106916	0.065
28	116501	0.052
28	120817	0.047
28	116518	0.046
28	120317	0.042
28	5050	0.033
28	106951	0.02
28	106913	0.012
28	120316	0.01
29	106918	0.176
29	120818	0.119
29	120301	0.113
29	106916	0.094
29	120318	0.092
29	106917	0.083
29	106901	0.073
29	120817	0.057
29	116501	0.048
29	116518	0.037
29	120317	0.032
29	5050	0.026
29	116517	0.014
29	106951	0.012
29	120816	0.01
29	120316	0.007
29	106913	0.006
30	106918	0.179
30	120818	0.15
30	106916	0.106
30	120318	0.082
30	106917	0.081
30	120301	0.078
30	106901	0.071
30	116501	0.04
30	120817	0.036
30	120816	0.034
30	120316	0.026
30	5050	0.023
30	116518	0.022
30	120317	0.021
30	106903	0.012
30	106951	0.009
30	120851	0.009
30	120801	0.008
30	116517	0.006
30	120303	0.006
31	84618	0.15
31	120301	0.15
31	1116501	0.097
31	129118	0.08
31	120318	0.059
31	129117	0.054
31	106917	0.047
31	106916	0.038
31	109918	0.035
31	120316	0.034
31	129101	0.033
31	106901	0.03
31	109917	0.029
31	129116	0.027
31	120317	0.026
31	106918	0.025
31	5050	0.024
31	109916	0.018
31	1116513	0.016
31	116518	0.008
31	109913	0.007
31	1116518	0.006
31	1116517	0.006
32	84618	0.136
32	129118	0.12
32	129117	0.105
32	120301	0.092
32	120318	0.07
32	106918	0.066
32	129101	0.063
32	116501	0.054
32	109918	0.049
32	1116501	0.036
32	120316	0.033
32	106901	0.027
32	109917	0.023
32	120317	0.022
32	116518	0.021
32	129116	0.02
32	106917	0.02
32	106916	0.014
32	5050	0.013
32	109913	0.008
32	116551	0.007
33	129117	0.166
33	84618	0.122
33	120318	0.094
33	129118	0.083
33	120301	0.08
33	106918	0.076
33	106901	0.054
33	116501	0.049
33	109917	0.038
33	120316	0.038
33	129116	0.035
33	109918	0.033
33	129101	0.022
33	106916	0.022
33	116518	0.02
33	77218	0.01
33	106917	0.009
33	120317	0.009
33	109901	0.008
33	106951	0.008
33	129113	0.007
33	5050	0.007
33	1116501	0.006
33	109913	0.005
34	129117	0.189
34	120318	0.119
34	106918	0.101
34	129118	0.101
34	84618	0.086
34	120301	0.036
34	106901	0.034
34	120316	0.028
34	120317	0.024
34	106916	0.023
34	116518	0.022
34	5050	0.022
34	109917	0.022
34	1106918	0.019
34	106917	0.018
34	77218	0.018
34	129116	0.016
34	109916	0.014
34	109901	0.012
34	106951	0.012
34	1109917	0.011
34	109918	0.009
34	116501	0.009
34	1109916	0.008
34	120303	0.007
34	120803	0.006
34	1106951	0.006
35	129117	0.221
35	120318	0.115
35	106917	0.076
35	129118	0.076
35	106916	0.075
35	106918	0.067
35	84618	0.039
35	120301	0.034
35	120316	0.029
35	109917	0.029
35	77218	0.023
35	116518	0.019
35	120317	0.019
35	116501	0.016
35	5050	0.015
35	129116	0.013
35	120803	0.013
35	109916	0.01
35	106901	0.009
35	109918	0.008
35	106951	0.008
35	109901	0.008
35	120818	0.007
35	116517	0.005
36	1106917	0.12
36	120318	0.118
36	106918	0.101
36	116516	0.078
36	120317	0.077
36	120316	0.071
36	106916	0.071
36	120301	0.062
36	1106918	0.048
36	5050	0.044
36	106917	0.038
36	1116518	0.034
36	109918	0.032
36	1106916	0.03
36	1106913	0.019
36	109916	0.017
36	106951	0.016
36	116517	0.009
36	116501	0.008
36	116518	0.006
37	106918	0.158
37	120318	0.141
37	120317	0.115
37	106916	0.097
37	106917	0.084
37	120316	0.06
37	1106917	0.056
37	120301	0.036
37	109918	0.032
37	116516	0.03
37	116518	0.025
37	5050	0.023
37	1106916	0.022
37	116517	0.021
37	1106901	0.02
37	1106918	0.019
37	1116518	0.014
37	116501	0.014
37	106951	0.011
37	106901	0.009
37	120817	0.007
37	120313	0.005
38	106918	0.2
38	106916	0.16
38	120317	0.148
38	106917	0.104
38	120318	0.094
38	120316	0.09
38	120817	0.045
38	1106917	0.039
38	1109916	0.029
38	1106918	0.013
38	120313	0.011
38	120301	0.01
38	106951	0.009
38	109917	0.009
38	106901	0.009
38	1106901	0.008
38	1106916	0.008
38	1109917	0.007
38	5050	0.006
39	106916	0.259
39	120317	0.177
39	106917	0.137
39	120316	0.127
39	106918	0.118
39	120318	0.051
39	109916	0.032
39	120817	0.03
39	106913	0.021
39	106901	0.011
39	109917	0.01
39	120818	0.009
39	106910	0.007
39	120816	0.006
39	120813	0.005
40	106916	0.282
40	120317	0.167
40	106917	0.139
40	120316	0.133
40	106918	0.083
40	109916	0.045
40	120318	0.041
40	106901	0.026
40	120816	0.023
40	1106916	0.022
40	120817	0.018
40	106913	0.012
40	120818	0.008
41	5050	0.366
41	1120818	0.165
41	120317	0.132
41	120318	0.112
41	120301	0.063
41	1120851	0.055
41	1120813	0.049
41	120351	0.039
41	1120817	0.019
42	120318	0.254
42	120317	0.232
42	1120818	0.2
42	120818	0.122
42	1120817	0.07
42	1120813	0.037
42	1120801	0.034
42	5050	0.028
42	1120851	0.012
42	120817	0.012
43	120318	0.473
43	120818	0.217
43	120817	0.184
43	5050	0.064
43	120317	0.031
43	120816	0.022
43	1120818	0.009
44	120318	0.73
44	120818	0.106
44	120317	0.076
44	120817	0.049
44	5050	0.038
45	120318	0.564
45	120818	0.195
45	120317	0.141
45	120817	0.083
45	5050	0.017
46	5050	0.309
46	109918	0.105
46	1116518	0.1
46	1106918	0.093
46	1116501	0.083
46	106918	0.068
46	1106901	0.039
46	1120818	0.028
46	1120801	0.025
46	1116517	0.023
46	106917	0.021
46	106901	0.019
46	109917	0.017
46	1106951	0.013
46	90018	0.01
46	1116551	0.01
46	90013	0.009
46	106951	0.009
46	1116516	0.007
46	1120851	0.006
46	116501	0.006
47	5050	0.175
47	106918	0.115
47	109918	0.094
47	116501	0.081
47	106901	0.068
47	1106918	0.064
47	106917	0.051
47	1120801	0.042
47	1106901	0.042
47	106916	0.039
47	1116501	0.039
47	116517	0.026
47	1120818	0.023
47	1116518	0.022
47	109917	0.02
47	116518	0.019
47	1106917	0.013
47	106913	0.009
47	1106951	0.009
47	116513	0.008
47	1106913	0.008
47	106951	0.007
47	1116516	0.007
47	1106916	0.006
47	116516	0.006
47	90018	0.006
48	106918	0.198
48	5050	0.138
48	116501	0.09
48	109918	0.077
48	116517	0.074
48	106917	0.067
48	106901	0.06
48	106916	0.052
48	1116501	0.049
48	1120801	0.045
48	1106918	0.033
48	1106901	0.028
48	90017	0.024
48	106951	0.016
48	109917	0.011
48	109916	0.01
48	1116518	0.008
48	1106917	0.008
48	1116517	0.007
48	90018	0.006
49	106918	0.212
49	116501	0.105
49	5050	0.097
49	109918	0.095
49	1116501	0.062
49	106917	0.053
49	106901	0.05
49	106916	0.05
49	1120801	0.036
49	1106918	0.033
49	90017	0.031
49	116517	0.03
49	106951	0.028
49	90018	0.027
49	1106901	0.022
49	1120818	0.021
49	109917	0.018
49	1116517	0.017
49	1116513	0.014
50	106918	0.208
50	116501	0.108
50	109918	0.086
50	106916	0.078
50	1116501	0.076
50	5050	0.057
50	106917	0.048
50	90017	0.046
50	120801	0.044
50	106901	0.033
50	1106901	0.029
50	1106918	0.026
50	90018	0.021
50	109916	0.019
50	1120801	0.018
50	106951	0.013
50	116518	0.013
50	1106917	0.012
50	90013	0.011
50	1120818	0.01
50	1116513	0.01
50	116517	0.007
50	1116517	0.007
50	1116518	0.006
50	109917	0.006
50	109951	0.006
51	5050	0.289
51	1106918	0.219
51	1106901	0.169
51	1116518	0.094
51	120318	0.045
51	106918	0.035
51	1106917	0.034
51	1106913	0.021
51	1106951	0.02
51	1116501	0.011
51	1120818	0.01
51	120301	0.01
51	1106910	0.009
51	1120318	0.008
51	1116517	0.007
51	1116513	0.007
51	1116551	0.006
51	106916	0.006
52	5050	0.21
52	1106901	0.167
52	1106918	0.156
52	1116518	0.111
52	120318	0.078
52	1106917	0.075
52	1106916	0.066
52	106916	0.053
52	106918	0.035
52	1106913	0.022
52	1116516	0.012
52	1116551	0.008
52	120317	0.007
53	1116518	0.173
53	1106917	0.169
53	1106901	0.135
53	1106918	0.109
53	106916	0.096
53	120318	0.089
53	5050	0.078
53	1106916	0.065
53	106918	0.033
53	120317	0.014
53	1116516	0.013
53	1106913	0.012
53	106917	0.009
53	116518	0.006
54	1106917	0.156
54	1116518	0.145
54	106916	0.117
54	1106901	0.112
54	1106918	0.099
54	120318	0.09
54	5050	0.087
54	1106916	0.057
54	106918	0.052
54	106917	0.034
54	120317	0.025
54	116518	0.012
54	116516	0.007
54	1116516	0.006
55	106916	0.136
55	106918	0.1
55	1106917	0.098
55	1116518	0.094
55	1106901	0.09
55	106917	0.086
55	1106918	0.07
55	5050	0.067
55	120318	0.063
55	116518	0.06
55	120317	0.059
55	1106916	0.048
55	116501	0.03
56	5050	0.314
56	1120818	0.239
56	102118	0.16
56	120818	0.084
56	102117	0.074
56	102101	0.042
56	102113	0.034
56	1120801	0.033
56	120318	0.009
56	120816	0.007
56	120817	0.005
57	120318	0.241
57	5050	0.202
57	120317	0.198
57	102118	0.138
57	102117	0.093
57	102101	0.048
57	120818	0.039
57	102116	0.023
57	120316	0.018
58	120318	0.307
58	5050	0.207
58	102116	0.19
58	120317	0.172
58	102118	0.117
58	120316	0.007
59	102118	0.223
59	120318	0.178
59	120316	0.169
59	102116	0.159
59	120317	0.138
59	102117	0.081
59	5050	0.051
60	102116	0.362
60	120317	0.249
60	120316	0.167
60	102117	0.112
60	120318	0.084
60	102118	0.027
61	106918	0.186
61	1116513	0.108
61	120301	0.079
61	106901	0.073
61	84618	0.072
61	1120801	0.072
61	116501	0.051
61	120318	0.039
61	116517	0.039
61	116518	0.032
61	106913	0.032
61	109901	0.03
61	109913	0.028
61	1116501	0.026
61	1116517	0.024
61	1106901	0.022
61	120317	0.014
61	106951	0.014
61	109918	0.013
61	1106910	0.013
61	106916	0.013
61	1120301	0.01
61	106917	0.005
61	1116510	0.005
62	1116501	0.179
62	106918	0.148
62	84618	0.073
62	120301	0.071
62	106901	0.064
62	1106901	0.059
62	116501	0.056
62	106951	0.041
62	109918	0.041
62	1116513	0.033
62	1120301	0.033
62	120318	0.028
62	1106913	0.026
62	1120801	0.024
62	1120818	0.02
62	1116518	0.017
62	109901	0.016
62	5050	0.012
62	109913	0.011
62	106917	0.011
62	120351	0.01
62	106913	0.009
62	106916	0.009
62	1106910	0.009
63	106918	0.179
63	106901	0.175
63	1116501	0.108
63	116501	0.088
63	84618	0.073
63	1120301	0.053
63	109918	0.036
63	120318	0.036
63	1106901	0.034
63	120301	0.031
63	106917	0.029
63	1106918	0.021
63	5050	0.02
63	106951	0.019
63	120316	0.014
63	109901	0.013
63	106916	0.012
63	109917	0.01
63	109916	0.01
63	116510	0.008
63	1116513	0.007
63	116518	0.006
63	120801	0.006
63	1106913	0.006
63	120351	0.005
64	106918	0.245
64	106901	0.15
64	106917	0.07
64	116501	0.069
64	120301	0.065
64	106916	0.061
64	84618	0.05
64	109918	0.031
64	106951	0.03
64	120801	0.024
64	1106918	0.022
64	1120317	0.018
64	5050	0.017
64	1120316	0.016
64	120318	0.016
64	1106901	0.015
64	120316	0.014
64	109916	0.012
64	109917	0.011
64	120818	0.009
64	1120301	0.008
64	90018	0.008
64	90016	0.007
64	1106916	0.005
64	90017	0.005
65	106918	0.178
65	106916	0.175
65	106917	0.133
65	120317	0.056
65	116501	0.054
65	1106916	0.041
65	120301	0.04
65	106901	0.034
65	90017	0.033
65	90016	0.029
65	120818	0.025
65	5050	0.016
65	116518	0.016
65	1106918	0.014
65	106951	0.013
65	120801	0.013
65	120851	0.012
65	1120316	0.009
