Specification of terrain components
TC-ID	fraction	slope[%]	position[-]
491	0.13	2.76	5
500	0.05	1.69	1
499	0.28	12.29	2
498	0.24	3.63	3
497	0.32	15.81	4
496	0.11	8.99	5
505	0.67	5.79	1
504	0.1	1.64	2
503	0.04	7.83	3
502	0.1	7.03	4
501	0.09	2.71	5
510	0.27	8.6	1
509	0.18	16.43	2
508	0.22	22.53	3
507	0.28	16.7	4
506	0.05	6.04	5
515	0.05	35.53	1
514	0.1	27.33	2
513	0.18	18.8	3
512	0.24	11.35	4
511	0.43	1.47	5
520	0.03125	75.64	1
519	0.10416666666667	35.07	2
517	0.125	36.13	4
516	0.73958333333333	6.84	5
525	0.15	18.68	1
524	0.04	36.7	2
523	0.06	12.0	3
522	0.04	32.49	4
521	0.71	12.99	5
530	0.09	15.72	1
529	0.08	30.91	2
528	0.26	11.32	3
527	0.1	1.18	4
526	0.47	13.93	5
535	0.21	30.1	1
534	0.16	15.77	2
533	0.1	40.02	3
532	0.18	16.92	4
531	0.35	2.06	5
540	0.43	6.95	1
539	0.04	15.48	2
538	0.36	7.22	3
537	0.12	17.2	4
536	0.05	2.67	5
545	0.29	21.86	1
544	0.04	49.1	2
543	0.34	9.24	3
542	0.06	42.03	4
541	0.27	9.45	5
550	0.03	40.97	1
549	0.08	34.24	2
548	0.38	7.79	3
547	0.08	20.81	4
546	0.43	6.29	5
555	0.01	27.64	1
554	0.2	18.01	2
553	0.12	13.62	3
552	0.1	11.59	4
551	0.57	4.49	5
560	0.071428571428571	11.48	1
559	0.61224489795918	5.62	2
558	0.28571428571429	0.5	3
556	0.030612244897959	17.18	5
