Specification of terrain components
TC-ID	fraction	slope[%]	position[-]
399	0.52	36.82	2
398	0.1	30.91	3
397	0.22	20.8	4
396	0.15	10.11	5
405	0.35	29.7	1
404	0.22	17.47	2
403	0.28	32.57	3
402	0.06	56.96	4
401	0.09	19.9	5
410	0.13	55.49	1
409	0.04	25.53	2
408	0.2	56.46	3
407	0.16	35.59	4
406	0.47	10.77	5
420	0.03	12.49	1
419	0.16	46.21	2
418	0.4	8.65	3
417	0.04	26.44	4
416	0.37	5.64	5
430	0.31	16.47	1
429	0.1	34.51	2
428	0.12	25.94	3
427	0.24	41.67	4
426	0.23	20.14	5
440	0.17	19.36	1
439	0.14	30.89	2
438	0.06	55.68	3
437	0.32	21.82	4
436	0.31	1.44	5
445	0.35	17.82	1
444	0.12	8.12	2
443	0.12	28.84	3
442	0.02	25.11	4
441	0.39	0.43	5
450	0.25	26.45	1
449	0.14	10.25	2
448	0.28	37.36	3
447	0.22	27.78	4
446	0.11	12.39	5
455	0.11	30.85	1
454	0.1	17.48	2
453	0.18	1.71	3
452	0.18	29.83	4
451	0.43	12.11	5
460	0.21	5.06	1
459	0.58	16.87	2
458	0.1	0.39	3
457	0.04	23.35	4
456	0.07	11.07	5
464	0.30927835051546	18.44	1
463	0.24742268041237	1.55	2
462	0.14432989690722	21.58	3
461	0.29896907216495	5.11	4
470	0.03	65.98	1
469	0.18	33.53	2
468	0.26	8.55	3
467	0.2	22.04	4
466	0.33	8.94	5
475	0.03	33.77	1
474	0.08	28.64	2
473	0.32	20.34	3
472	0.46	14.51	4
471	0.11	6.95	5
480	0.01	64.91	1
479	0.1	20.83	2
478	0.02	70.9	3
477	0.36	17.01	4
476	0.51	5.94	5
485	0.03	50.66	1
484	0.12	36.07	2
483	0.18	23.94	3
482	0.42	12.17	4
481	0.25	6.55	5
490	0.23	40.85	1
489	0.06	32.59	2
488	0.16	20.07	3
487	0.12	35.17	4
486	0.43	8.29	5
495	0.03	38.67	1
494	0.1	41.11	2
493	0.16	30.06	3
492	0.18	19.68	4
491	0.53	9.43	5
500	0.09	29.33	1
499	0.48	15.25	2
498	0.12	6.33	3
497	0.1	11.07	4
496	0.21	2.3	5
505	0.17	16.99	1
504	0.34	9.43	2
503	0.22	2.35	3
502	0.14	14.16	4
501	0.13	5.53	5
510	0.01	34.23	1
509	0.36	15.06	2
508	0.04	31.36	3
507	0.54	24.03	4
506	0.05	13.23	5
515	0.01	77.65	1
514	0.28	40.12	2
513	0.2	13.19	3
512	0.06	33.42	4
511	0.45	12.58	5
520	0.09	30.38	1
519	0.6	17.91	2
518	0.1	11.31	3
517	0.08	24.27	4
516	0.13	9.32	5
525	0.27	5.55	1
524	0.42	15.32	2
523	0.14	4.78	3
522	0.1	17.71	4
521	0.07	7.29	5
530	0.37	31.05	1
529	0.04	68.34	2
528	0.06	4.5	3
527	0.06	31.06	4
526	0.47	9.14	5
